Артикул;Наименование
110007376;Электрическая варочная поверхность LEX EVH 642 BLACK
110007368;Электрическая варочная поверхность LEX EVH 320 BLACK
110007370;Электрическая варочная поверхность LEX EVH 430 BLACK
110007377;Электрическая варочная поверхность LEX EVH 642-1 BLACK
110007369;Электрическая варочная поверхность LEX EVH 321 BLACK
110007378;Электрическая варочная поверхность LEX EVH 642-2 BL
110007372;Электрическая варочная поверхность LEX EVH 640 BLACK
110032095;Электрическая варочная поверхность Lex EVH 640-0 BL
110007380;Электрическая варочная поверхность LEX EVI 320-2 BLACK
110007379;Электрическая варочная поверхность LEX EVI 320 BLACK
110007382;Электрическая варочная поверхность LEX EVI 430 IV
110007381;Электрическая варочная поверхность LEX EVI 430 BLACK
110032167;Вытяжка Lex TOUCH 600 IVORY
110032168;Вытяжка Lex TOUCH 600 ivory light
110032105;Вытяжка Lex GS BLOC P 900 IVORY
110032173;Вытяжка Lex Tubo Isola 350 inox
110032174;Вытяжка Lex ANCONA 600 White
110032186;Вытяжка LEX TORINO 600 WHITE
110032189;Вытяжка Lex TORINO 900 IVORY
110032190;Вытяжка Lex VERONA 600 WHITE
110007280;Наклонная кухонная вытяжка LEX MIKA G 500 IVORY
110032191;Вытяжка Lex VERONA 600 IVORY
110007281;Наклонная кухонная вытяжка LEX MIKA G 500 IVORY LIGHT
110032165;Вытяжка Lex PLAZA 600 WHITE
110032194;Вытяжка Lex VERONA BODY 600 IVORY LIGHT
110032188;Вытяжка LEX TORINO 900 WHITE
110007315;Встраиваемая кухонная вытяжка LEX GS BLOC P 600 IVORY LIGHT
110032154;Вытяжка Lex MIKA GS 600 Ivory light
110004882;Вытяжка Lex SIMPLE 600 IVORY LIGHT
110000738;Вытяжка Lex ASTORIA 600 ivory
110036510;Холодильник LEX RFS 205 NF BL
110007423;Холодильник LEX RFS 201 DF WH
110036527;Термопот LEX LXTP 3610 брашированная сталь
110036528;Термопот LEX LXTP 3611 черная
110036526;Термопот LEX LXTP 3605 белый
110036524;Термопот LEX LXTP 3603 черный
110036525;Термопот LEX LXTP 3604 бежевый
110036557;Кофеварка LEX LXCM 3504-1 бежевая
110001468;Электрический духовой встраиваемый шкаф LEX EDM 4570 WH
