;;;;;;;;;;;;
Прайс-сток;;;;;;;;;;;;
;;;;;;;;;;;;
Артикул;;Штрихкод;;Модель;Наименование;Бренд;Категория;РРЦ;Цена;Остаток Бизнес Контроль;Остаток поставщика;Итого
110003182;;8850207497057;;R-BG 410 PU6X GBE;Холодильник HITACHI R-BG 410 PU6X GBE;Hitachi;Холодильники;109 950;97 900;0;0;0
110003188;;4549873040530;;R-G 690 GU XK;Холодильник HITACHI R-G 690 GU XK;Hitachi;Холодильники;749 950;605 000;0;0;0
110003183;;8850207503918;;R-BG 410 PU6X GPW;Холодильник Hitachi R-BG 410 PU6X GPW;Hitachi;Холодильники;129 950;72 985;0;0;0
110003184;;8850207497040;;R-BG 410 PU6X GS;Холодильник Hitachi R-BG 410 PU6X GS;Hitachi;Холодильники;109 950;97 900;0;0;0
110003195;;4549873040592;;R-SF 48 GU T;Холодильник HITACHI R-SF 48 GU T;Hitachi;Холодильники;275 950;239 085;0;0;0
110003189;;4549873040523;;R-G 690 GU XT;Холодильник HITACHI R-G 690 GU XT;Hitachi;Холодильники;555 950;462 000;0;0;0
110003185;;8850207495077;;R-BG 410 PU6X XGR;Холодильник HITACHI R-BG 410 PU6X XGR;Hitachi;Холодильники;139 950;124 300;0;0;0
110003186;;4549873040554;;R-G 630 GU XT;Холодильник HITACHI R-G 630 GU XT;Hitachi;Холодильники;390 950;324 093;0;0;0
110003196;;8850207466909;;R-W 722 FPU1X GBW;Холодильник Hitachi R-W 722 FPU1X GBW;Hitachi;Холодильники;199 950;174 900;0;0;0
110003190;;8850207463304;;R-M 702 GPU2 GS;Холодильник Hitachi R-M 702 GPU2 GS;Hitachi;Холодильники;374 950;331 100;0;0;0
110003187;;4549873040578;;R-G 630 GU XW;Холодильник HITACHI R-G 630 GU XW;Hitachi;Холодильники;390 950;324 093;0;0;0
110003192;;8850207464363;;R-S 702 GPU2 GS;Холодильник Hitachi R-S 702 GPU2 GS;Hitachi;Холодильники;324 950;238 700;0;0;0
110005380;;8850207524685;;R-WB 642 VU0 GBK;Холодильник Hitachi R-WB 642 VU0 GBK;Hitachi;Холодильники;299 950;257 400;0;0;0
110005578;;8850207511487;;R-W 662 PU7 GBE;Холодильник HITACHI R-W 662 PU7 GBE;Hitachi;Холодильники;229 950;133 595;0;0;0
110003191;;8850207463885;;R-M 702 PU2 GBK;Холодильник Hitachi R-M 702 PU2 GBK;Hitachi;Холодильники;324 950;238 700;0;0;0
110003194;;4549873040585;;R-SF 48 GU SN;Холодильник HITACHI R-SF 48 GU SN;Hitachi;Холодильники;275 950;239 085;0;0;0
110006547;;4549873040561;;R-G 630 GU XK;Холодильник HITACHI R-G 630 GU XK;Hitachi;Холодильники;390 950;324 093;0;0;0
110005740;;8850207507077;;R-V 662 PU7 BEG;Холодильник Hitachi R-V 662 PU7 BEG;Hitachi;Холодильники;139 950;124 300;0;0;0
110003193;;;;R-S 702 PU2 GBK;Холодильник Hitachi R-S 702 PU2 GBK;Hitachi;Холодильники;159 950;140 800;0;0;0
110005311;;8850207495862;;R-SG 38 FPU GBK;Холодильник HITACHI R-SG 38 FPU GBK;Hitachi;Холодильники;199 950;113 960;0;0;0
110006548;;4549873040547;;R-G 690 GU XW;Холодильник HITACHI R-G 690 GU XW;Hitachi;Холодильники;749 950;605 000;0;0;0
110006539;;8850207494711;;R-B 502 PU6 GPW;Холодильник HITACHI R-B 502 PU6 GPW;Hitachi;Холодильники;104 950;93 500;0;0;0
110006538;;8850207494698;;R-B 502 PU6 GGR;Холодильник HITACHI R-B 502 PU6 GGR;Hitachi;Холодильники;104 950;93 500;0;0;0
110005575;;8850207523176;;R-WB 562 PU9 GBW;Холодильник HITACHI R-WB 562 PU9 GBW;Hitachi;Холодильники;211 950;124 685;0;0;0
110006549;;8850207482428;;R-M 702 AGPU4X DIA;Холодильник HITACHI R-M 702 AGPU4X DIA;Hitachi;Холодильники;459 950;398 200;0;0;0
110006540;;8850207499235;;R-B 502 PU6 GS;Холодильник HITACHI R-B 502 PU6 GS;Hitachi;Холодильники;104 950;93 500;0;0;0
110006543;;8850207502706;;R-B 572 PU7 GGR;Холодильник HITACHI R-B 572 PU7 GGR;Hitachi;Холодильники;124 950;111 320;0;0;0
110005579;;8850207511456;;R-W 662 PU7 GBK;Холодильник HITACHI R-W 662 PU7 GBK;Hitachi;Холодильники;229 950;133 595;0;0;0
110006550;;8850207482435;;R-M 702 AGPU4X MIR;Холодильник HITACHI R-M 702 AGPU4X MIR;Hitachi;Холодильники;459 950;398 200;0;0;0
110006541;;8850207502683;;R-B 572 PU7 GBK;Холодильник HITACHI R-B 572 PU7 GBK;Hitachi;Холодильники;186 950;111 320;0;0;0
110006545;;8850207502720;;R-B 572 PU7 GS;Холодильник HITACHI R-B 572 PU7 GS;Hitachi;Холодильники;124 950;111 320;0;0;0
110006536;;8850207494650;;R-B 502 PU6 GBК;Холодильник HITACHI R-B 502 PU6 GBK;Hitachi;Холодильники;149 950;93 500;0;0;0
110006551;;8850207463298;;R-M 702 GPU2 GBK;Холодильник HITACHI R-M 702 GPU2 GBK;Hitachi;Холодильники;379 950;331 100;0;0;0
110006555;;8850207464356;;R-S 702 GPU2 GBK;Холодильник HITACHI R-S 702 GPU2 GBK;Hitachi;Холодильники;279 950;243 100;0;0;0
110006552;;8850207463328;;R-M 702 GPU2X MBW;Холодильник HITACHI R-M 702 GPU2X MBW;Hitachi;Холодильники;399 950;352 000;0;0;0
110006537;;8850207494674;;R-B 502 PU6 GBW;Холодильник HITACHI R-B 502 PU6 GBW;Hitachi;Холодильники;149 950;93 500;0;0;0
110006564;;8850207507039;;R-V 662 PU7 BBK;Холодильник HITACHI R-V 662 PU7 BBK;Hitachi;Холодильники;194 950;106 865;0;0;0
110006556;;8850207464776;;R-S 702 PU2 GS;Холодильник HITACHI R-S 702 PU2 GS;Hitachi;Холодильники;159 950;140 800;0;0;0
110006554;;8850207463892;;R-M 702 PU2 GS;Холодильник HITACHI R-M 702 PU2 GS;Hitachi;Холодильники;279 950;238 700;0;0;0
110006542;;8850207502690;;R-B 572 PU7 GBW;Холодильник HITACHI R-B 572 PU7 GBW;Hitachi;Холодильники;186 950;111 320;0;0;0
110006565;;8850207507046;;R-V 662 PU7 BSL;Холодильник HITACHI R-V 662 PU7 BSL;Hitachi;Холодильники;194 950;106 865;0;0;0
110006557;;8850207495879;;R-SG 38 FPU GS;Холодильник HITACHI R-SG 38 FPU GS;Hitachi;Холодильники;199 950;113 960;0;0;0
110006559;;8850207517045;;R-V 472 PU8 PWH;Холодильник HITACHI R-V 472 PU8 PWH;Hitachi;Холодильники;79 950;73 700;0;0;0
110006544;;8850207502713;;R-B 572 PU7 GPW;Холодильник HITACHI R-B 572 PU7 GPW;Hitachi;Холодильники;124 950;111 320;0;0;0
110006566;;8850207507053;;R-V 662 PU7 PWH;Холодильник HITACHI R-V 662 PU7 PWH;Hitachi;Холодильники;194 950;106 865;0;0;0
110006558;;8850207517038;;R-V 472 PU8 BSL;Холодильник HITACHI R-V 472 PU8 BSL;Hitachi;Холодильники;79 950;73 700;0;0;0
110006561;;8850207506582;;R-V 542 PU7 BEG;Холодильник HITACHI R-V 542 PU7 BEG;Hitachi;Холодильники;118 950;105 600;0;0;0
110006546;;8850207495060;;R-BG 410 PU6X GBK;Холодильник HITACHI R-BG 410 PU6X GBK;Hitachi;Холодильники;99 950;89 100;0;0;0
110006567;;8850207449599;;R-V 722 PU1 SLS;Холодильник HITACHI R-V 722 PU1 SLS;Hitachi;Холодильники;159 950;134 200;0;0;0
110006572;;8850207517090;;R-VG 472 PU8 GPW;Холодильник HITACHI R-VG 472 PU8 GPW;Hitachi;Холодильники;146 950;86 900;0;0;0
110006563;;8850207506575;;R-V 542 PU7 PWH;Холодильник HITACHI R-V 542 PU7 PWH;Hitachi;Холодильники;159 950;91 245;0;0;0
110006553;;8850207463311;;R-M 702 GPU2X MIR;Холодильник HITACHI R-M 702 GPU2X MIR;Hitachi;Холодильники;399 950;352 000;0;0;0
110006588;;8850207470371;;R-W 722 PU1 GBK;Холодильник HITACHI R-W 722 PU1 GBK;Hitachi;Холодильники;179 950;155 100;0;0;0
110006573;;8850207526948;;R-VG 472 PU8 XRZ;Холодильник HITACHI R-VG 472 PU8 XRZ;Hitachi;Холодильники;94 950;86 900;0;0;0
110006568;;8850207480622;;R-V 722 PU1X INX;Холодильник HITACHI R-V 722 PU1X INX;Hitachi;Холодильники;169 950;147 400;0;0;0
110006560;;8850207506551;;R-V 542 PU7 BBK;Холодильник HITACHI R-V 542 PU7 BBK;Hitachi;Холодильники;139 950;124 300;0;0;0
110006589;;8850207470388;;R-W 722 PU1 GBW;Холодильник HITACHI R-W 722 PU1 GBW;Hitachi;Холодильники;179 950;159 500;0;0;0
110006574;;8850207506094;;R-VG 542 PU7 GBK;Холодильник HITACHI R-VG 542 PU7 GBK;Hitachi;Холодильники;178 950;111 320;0;0;0
110006570;;8850207517076;;R-VG 472 PU8 GBW;Холодильник HITACHI R-VG 472 PU8 GBW;Hitachi;Холодильники;146 950;86 900;0;0;0
110006562;;8850207506568;;R-V 542 PU7 BSL;Холодильник HITACHI R-V 542 PU7 BSL;Hitachi;Холодильники;159 950;91 245;0;0;0
110006593;;8850207491628;;R-WB 732 PU5 GBK;Холодильник HITACHI R-WB 732 PU5 GBK;Hitachi;Холодильники;209 950;170 940;0;0;0
110006575;;8850207506100;;R-VG 542 PU7 GGR;Холодильник HITACHI R-VG 542 PU7 GGR;Hitachi;Холодильники;178 950;111 320;0;0;0
110006577;;8850207506773;;R-VG 662 PU7 GBK;Холодильник HITACHI R-VG 662 PU7 GBK;Hitachi;Холодильники;211 950;124 685;0;0;0
