Код 1с;Номенклатура;1 поставщик;21 поставщик
244358;Плита GORENJE GEC5B41SG;224866;
244359;Плита GORENJE GECS5B70CLI;224872;
244368;Холодильник LIEBHERR CNsdd 5223;226961;
244369;Духовой шкаф MAUNFELD MEOR7217DMB2;226964;110030957
244370;Духовой шкаф MAUNFELD MEOR7217SMB;226963;110030866
244386;Духовой шкаф BOSCH HBA534BW0;226593;
244387;Духовой шкаф BOSCH HBA534ES0;226595;
244398;Вытяжка TEKA DLV 68660 TOS WHITE;227368;
244399;Вытяжка TEKA DLV 98660 TOS WHITE;227370;
244415;Стиральная машина GORENJE W1NHPI62SCSIRV;224861;
244420;Винный шкаф ASKO WCN111942G;226819;
244421;Стиральная машина ASKO W2086C.W/3;226609;
244422;Стиральная машина ASKO W4086C.W/3;226813;
244423;Стиральная машина ASKO W4086C.T/3;226616;
244424;Стиральная машина ASKO W2114C.W/1;226814;
244425;Стиральная машина ASKO W4114C.W/3;226816;
244426;Стиральная машина ASKO W6098P.W/1;226613;
244427;Стиральная машина ASKO W6098X.W/3;226611;
244428;Стиральная машина ASKO W6098X.S/3;226612;
244445;Холодильник SAMSUNG RB33A3440WW/WT;227108;
244446;Посудомоечная машина BOSCH SMS25AI05E;226545;
244447;Варочная поверхность BOSCH PBP6C5B92R;226586;
244448;Варочная поверхность BOSCH PGP6B5O93R;224838;
244449;Варочная поверхность BOSCH PNP6B2O92R;224899;
244450;Варочная поверхность BOSCH PNP6B6O92R;224900;
244451;Варочная поверхность BOSCH PUG611AA5E;226966;110031515
244452;Духовой шкаф BOSCH HBA5360S0;226596;
244453;Духовой шкаф BOSCH HBA5360W0;226921;
244454;Духовой шкаф BOSCH HBF114BS1;226597;
244455;Духовой шкаф BOSCH HBT537FB0;226601;
244456;Посудомоечная машина BOSCH SMV25BX02R;223490;
244457;Посудомоечная машина BOSCH SMV4EVX10E;226969;
244458;Варочная поверхность DELONGHI NV 46/1 ASV C А;228271;
244460;Морозильная камера LIEBHERR SIFNf 5128;227274;
244468;Вытяжка TEKA DLV 68660 TOS STEAM GREY;227369;
244470;Вытяжка FALMEC Gruppo Incasso No-Drop 90 (CGPW90.E2P2#ZZZI491F);223329;
244478;Вытяжка FALMEC EUROPA ISOLA 120 (CEUI20.E10P2#ZZZI491F);216437;
244481;Вытяжка FALMEC GRUPPO INCASSO MURANO BLACK 70 см (CGIW70.E10P6#ZZZN491F);216441;
244483;Вытяжка FALMEC LUMEN NRS 90 (CLUN90.E14P2#NEUI490F);216460;
244484;Вытяжка FALMEC LUMEN ISOLA NRS 175 DX (CLUI75.E4P2#NEUI490F);216458;
244485;Вытяжка FALMEC LUMEN ISOLA NRS 90 (CLUI90.E10P2#NEUI490F);216459;
244486;Вытяжка FALMEC VERSO 85 GRAY (CVXN85.E0P2#ZZZA491F);216440;
244487;Вытяжка FALMEC VIRGOLA NRS 120 (CVJN20.E16P2#ZZZ3490F);216443;
244488;Вытяжка FALMEC VIRGOLA NRS 90 (CVJN90.E16P2#ZZZ3490F);216444;
244489;Вытяжка FALMEC PLANE NRS 90 BLACK (CPLN90.E18P2#ZZZN490F);216453;
244491;Варочная поверхность FALMEC SINTESI 90 P.E.U. BLACK (CUZW90.00P8#ZZZN460F);216488;
244650;Холодильник GORENJE R619EABK6 черный;227191;
189048;Силиконовые антивибрационные подставки BON BN-610-1 (1 компл.);156711;
189051;Очищающий спрей для нержавеющей стали BON BN-175 (500 мл);156707;
189066;Антибактериальное чистящее средство для холодильников BON BN-161 (500 мл);156702;
189067;Поглотитель запаха для холодильника BON BN-2010 (1 шт.);156708;
189071;Скребок для ухода за стеклокерамикой BON BN-603;156709;
189072;Лезвия для скребка стальные BON BN-604 (10 шт.);156710;
189073;Чистящее средство для духовых шкафов BON BN-159 (500 мл);156701;
189105;Силиконовые антивибрационные подставки MAGIC POWER MP-610-1 (1 компл.);156716;
189109;Шланг MAGIC POWER сливной для СМ MP-625 (3 м);166438;
256036;Плита SCHAUB LORENZ SLH KW5653;231062;
256037;Плита SCHAUB LORENZ SLH KW5671;231061;
256038;Плита SCHAUB LORENZ SLH KW6673;231063;
256039;Стиральная машина SCHAUB LORENZ SLW BW8543 I;231060;110034728
257141;Холодильник KORTING KNFC 61869 GN;231302;110034980
